"","Authors","Title","Year","Cited.by","Affiliations","EID"
"105","Sahin C., Ceylan Y., Kalayci F.","Purse seine fishery discards on the Black Sea coasts of Turkey [Karadeniz kiyilarinda (Türkiye) girgir avciligi Iskartalari]",2015,NA,"Recep Tayyip Erdogan University, Turkey","2-s2.0-84930369184"
"106","Petrova D., Gerdzhikov D.","Phytoplankton taxonomy in the Bulgarian coastal waters (2008-2010)",2015,1,"Institute of Fish Resources, Varna, Bulgaria","2-s2.0-84957934221"
"107","Stoica E., Mihailov M.-E., Gîlea B., Popescu C., Lazar L.","Use of IDEXX Quanti-tray system for rapid assessment of Faecal indicator bacteria (FIB) in coastal black sea surface waters",2015,NA,"National Institute for Marine Research and Development ‘Grigore Antipa’, Romania; MEDICLIM SRL, Romania","2-s2.0-84946551863"
"108","Vasilev A.","Geothermal evolution of gas hydrate deposits: Bulgarian exclusive economic zone in the black sea",2015,NA,"Institute of Oceanology, Bulgarian Academy of Sciences, PO Box 152 40, First May St, Varna, Bulgaria","2-s2.0-84943541918"
"109","Suslin V.V., Korolev S.N., Kucheryaviy A.A., Churilova T.Ya., Krivenko O.V.","Photosynthetically available radiation on surface of the Black Sea based on ocean color data",2015,NA,"Marine Hydrophysical Institute, 2 Kapitanskaya str., Sevastopol, Ukraine; Institute of Biology of Southern Seas, 2 Nahimov ave., Sevastopol, Ukraine","2-s2.0-84963540179"
"110","Uzun D., Razkazova-Velkova E., Petrov K., Beschkov V.","Electrochemical method for energy production from hydrogen sulfide in the Black sea waters in sulfide-driven fuel cell",2015,NA,"Acad. Evgeni Budevski Institute of Electrochemistry and Energy Systems, Bulgarian Academy of Sciences, Acad. G. Bonchev Str., Bl.10, Sofia, Bulgaria; Institute of Chemical Engineering, Bulgarian Academy of Sciences, Acad. G. Bonchev Str., Bl. 103, Sofia, Bulgaria","2-s2.0-84958062525"
"111","Sa<U+0287>lam N.E., Sa<U+0287>lam C., Sa<U+0287>lam Y.D.","Determination of some population parameters of the veined rapa whelk (Rapana venosa) in the Central Black Sea",2015,1,"Fatsa Faculty of Marine Sciences, Ordu University, Fatsa/Ordu, Turkey; Faculty of Fisheries, Ege University, Izmir/Bornova, Turkey","2-s2.0-84921384490"
"112","Niemiec M., Wisniowska-Kielian B., Arasimowicz M., Kuzminowa N.","Assessment of the black sea ecosystem pollution with copper and cadmium in selected bays of Sevastopol region",2015,NA,"Department of Agricultural and Environmental Chemistry, University of Agriculture, A. Mickiewicza Ave. 21, Kraków, Poland; Institute of Biology of the Southern Seas, Ukrainian National Academy of Sciences, Sevastopol, Ukraine","2-s2.0-84947436096"
"113","Nikishin A.M., Okay A., Tüysüz O., Demirer A., Wannier M., Amelin N., Petrov E.","The Black Sea basins structure and history: New model based on new deep penetration regional seismic data. Part 2: Tectonic history and paleogeography",2015,9,"Geological Faculty, Moscow State University, Moscow, Russian Federation; Istanbul Technical University, Eurasia Institute of Earth Sciences and Faculty of Mines, Istanbul, Turkey; Turkish Petroleum Corporation, Ankara, Turkey; Petronas Carigali, Kuala Lumpur, Malaysia; SIPM, The Hague Holland, Netherlands; Geology Without Limits, Moscow, Russian Federation","2-s2.0-84914121772"
"114","Özer A., Özkan H., Güneydag S., Yurakhno V.","First report of several myxosporean (Myxozoa) and monogenean parasites from fish species off sinop coasts of the black sea [Karadeniz’in Sinop Kiyilarindan Yakalanan Baliklarin Bazi Mikzospor ve Monogenea Parazitlerinin Ilk Bildirimleri]",2015,NA,"Sinop University, Fisheries and Aquatic Sciences, Sinop, Turkey; A.O. Kovalevsky Institute of Marine Biological Research of RAS, 2 Nakhimov av., Sevastopol, Crimea, Russian Federation","2-s2.0-84956961511"
"115","Bottez V.","Implementing roman rule in greek cities on the western black sea coast. The role of the imperial cult",2015,NA,"University of Bucharest, Romania","2-s2.0-84929233820"
"116","Alexandrova-Arbatova N.","Security relations in the black sea region: Russia and the west after the Ukrainian crisis",2015,NA,"Institute for World Economy and International Relations (IMEMO), Russian Academy of Sciences, 23 Profsoyuznaya Str, Moscow, Russian Federation","2-s2.0-84954227174"
"117","Watanabe W.O., Dumas C.F., Carroll P.M., Resimius C.M.","Production Economic Analysis of Black Sea Bass Juveniles to Support Finfish Mariculture Growout Industry Development in the Southeastern United States",2015,NA,"Center for Marine Science, University of North Carolina Wilmington, Wilmington, NC, United States; Department of Economics and Finance, University of North Carolina Wilmington, Wilmington, NC, United States","2-s2.0-84929232502"
"118","Ivantchik A.","Some Fake Inscriptions from Olbia and Tyras",2015,NA,"Institut de Recherche sur l'Antiquité et le moyen'Age, Maison de l'Archéologie, Université de Bordeaux 3, 8, esplanade des Antilles, Pessac Cedex, France","2-s2.0-84948435925"
"119","Dineva S.","Reliable seawater resources: A factor for development of the growing Varna region",2015,NA,"Institute of Fish Resources, Varna, Bulgaria","2-s2.0-84959108569"
"120","Cannaby H., Fach B.A., Arkin S.S., Salihoglu B.","Climatic controls on biophysical interactions in the Black Sea under present day conditions and a potential future (A1B) climate scenario",2015,1,"National Oceanography Centre, Joseph Proudman Building, 6 Brownlow Street, Liverpool, United Kingdom; Middle East Technical University, Institute of Marine Sciences, P.K. 28, Erdemli Mersin, Turkey","2-s2.0-84921361177"
